system_id,id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name,cluster_id
1,966,2020-03-20 23:54:36.974591,a34e5af0-f920-4d7f-91ee-9ba3a0567154,0242ac12-0005-f9cc-5761-00000000000e,runner_item_on_ok,5,f,f,4,2,60,4,44,1,6,1
1,967,2020-03-20 23:54:36.975529,ec3cb76b-f135-43de-9fa3-8a8d5e2a08b0,0242ac12-0005-f9cc-5761-00000000000e,runner_on_ok,5,f,f,4,2,60,4,44,1,6,1
1,968,2020-03-20 23:54:36.943706,377914ed-a785-4945-8981-09f565176e3e,0242ac12-0005-f9cc-5761-00000000000e,runner_item_on_ok,5,f,f,4,2,60,4,44,2,3,1
1,969,2020-03-20 23:54:37.016561,f87bb516-4791-42c7-90a6-7cd413fcd432,0242ac12-0005-f9cc-5761-00000000000e,playbook_on_include,5,f,f,4,2,60,4,44,,,1
1,970,2020-03-20 23:54:37.290348,0242ac12-0005-f9cc-5761-000000000043,0242ac12-0005-f9cc-5761-000000000007,playbook_on_task_start,2,f,f,4,2,73,4,44,,,1
1,971,2020-03-20 23:54:37.291637,855ce850-47ae-47e5-8eee-c5e24b7bd283,0242ac12-0005-f9cc-5761-000000000043,runner_on_start,2,f,f,4,2,55,4,44,2,3,1
1,972,2020-03-20 23:54:37.341515,31b9843a-e455-4df6-99b8-cfcd94d5b1c5,0242ac12-0005-f9cc-5761-000000000043,runner_on_start,2,f,f,4,2,55,4,44,1,6,1
1,973,2020-03-20 23:54:38.943145,a2d3b9dd-c48a-435c-b9f2-b21677eecdca,0242ac12-0005-f9cc-5761-000000000044,runner_on_start,12,f,f,4,2,9,4,44,2,3,1
1,974,2020-03-20 23:54:38.878068,bbfd7682-d465-4cdd-a68b-9fca59f6356c,0242ac12-0005-f9cc-5761-000000000043,runner_on_ok,2,f,f,4,2,73,4,44,1,6,1
1,975,2020-03-20 23:54:38.919437,c89b6d32-beaa-4027-a08b-d5546ef248a8,0242ac12-0005-f9cc-5761-000000000043,runner_on_ok,2,f,f,4,2,73,4,44,2,3,1
1,976,2020-03-20 23:54:38.941897,0242ac12-0005-f9cc-5761-000000000044,0242ac12-0005-f9cc-5761-000000000007,playbook_on_task_start,12,f,f,4,2,9,4,44,,,1
1,977,2020-03-20 23:54:38.992538,20b70149-bbb4-4750-9d27-eeeee015176b,0242ac12-0005-f9cc-5761-000000000044,runner_on_start,12,f,f,4,2,9,4,44,1,6,1
1,978,2020-03-20 23:54:40.341643,746d5f37-78a6-4948-864d-7331d91bda4c,0242ac12-0005-f9cc-5761-000000000044,runner_item_on_ok,12,f,f,4,2,9,4,44,1,6,1
1,979,2020-03-20 23:54:40.427904,f0726098-c5d1-4fc9-9411-2fc96e1ccb29,0242ac12-0005-f9cc-5761-000000000044,runner_item_on_ok,12,f,f,4,2,9,4,44,2,3,1
1,980,2020-03-20 23:54:41.207703,ad45177a-58a6-4b42-ba5c-24af4b4b1149,0242ac12-0005-f9cc-5761-000000000044,runner_on_ok,12,f,f,4,2,9,4,44,1,6,1
1,981,2020-03-20 23:54:41.206167,153fa96e-90cf-4b8d-81e3-c3f1bb40acdf,0242ac12-0005-f9cc-5761-000000000044,runner_item_on_ok,12,f,f,4,2,9,4,44,1,6,1
1,982,2020-03-20 23:54:41.387811,4700184d-bd3c-4db5-a0d3-dea6793a12f3,0242ac12-0005-f9cc-5761-000000000044,runner_item_on_ok,12,f,f,4,2,9,4,44,2,3,1
1,983,2020-03-20 23:54:41.389398,a865b754-22f5-458e-8949-060d531b687e,0242ac12-0005-f9cc-5761-000000000044,runner_on_ok,12,f,f,4,2,9,4,44,2,3,1
1,984,2020-03-20 23:54:41.401947,1ce05e38-5423-4032-9cdd-057f29c9b511,a864efa2-eb69-4e4c-8ffb-f49a67430560,playbook_on_stats,,f,f,4,,,,44,,,1
1,985,2020-03-20 23:55:40.890422,a0fd9a84-1ebb-4f30-b7a8-df25fecc6e39,"",verbose,,f,f,,,,,47,,,1
1,986,2020-03-20 23:55:41.991605,2b0f1988-3727-4a1b-b635-5c0638e7e29a,"",playbook_on_start,,f,f,5,,,,47,,,1
1,987,2020-03-20 23:55:42.015985,0242ac12-0005-6056-dd44-000000000012,0242ac12-0005-6056-dd44-000000000007,playbook_on_task_start,1,f,f,5,5,64,,47,,,1
1,988,2020-03-20 23:55:41.994251,0242ac12-0005-6056-dd44-000000000007,2b0f1988-3727-4a1b-b635-5c0638e7e29a,playbook_on_play_start,,f,f,5,5,,,47,,,1
1,989,2020-03-20 23:55:42.01702,a84373d0-2bdf-4091-ad4b-ffcb207ad0bf,0242ac12-0005-6056-dd44-000000000012,runner_on_start,1,f,f,5,5,64,,47,2,3,1
